table,_start,_stop,_time,_value,_field,_measurement,device,location
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:06:44.584609123Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:07:44.797612245Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:08:44.856930709Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:09:45.120061873Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:10:45.328493375Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:11:45.54028449Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:12:45.752939409Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:13:45.816959207Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:14:46.076211702Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:15:46.286440242Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:16:46.401528515Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:17:46.608764206Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:18:46.670921612Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:19:46.729372755Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:20:46.936005212Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:21:47.249426849Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:22:47.302975557Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:23:47.574713065Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:24:47.783109906Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:25:47.833565881Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:26:47.902819041Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:27:48.112255253Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:28:48.330542464Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:29:48.539850683Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:30:48.596298412Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:31:48.858627343Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
0,2025-08-06T00:00:00Z,2025-08-12T00:00:00Z,2025-08-06T01:32:49.072931661Z,0,count,people_counter,esp32_deur_sensor,wachtzaal
