minute,seconds_present,avg_people,max_people,status
2025-07-15 12:34:00.000000 UTC,242,0.73611111111111149,2,Geldig (>=10s aanwezig)
2025-07-15 12:35:00.000000 UTC,135,0.46666666666666662,2,Geldig (>=10s aanwezig)
2025-07-15 12:36:00.000000 UTC,312,1.0000000000000002,2,Geldig (>=10s aanwezig)
2025-07-15 12:37:00.000000 UTC,121,0.34166666666666679,2,Geldig (>=10s aanwezig)
2025-07-15 12:38:00.000000 UTC,140,0.38888888888888884,1,Geldig (>=10s aanwezig)
2025-07-15 12:39:00.000000 UTC,146,0.40833333333333327,2,Geldig (>=10s aanwezig)
2025-07-15 12:40:00.000000 UTC,154,0.511111111,2,Geldig (>=10s aanwezig)
2025-07-15 12:41:00.000000 UTC,84,0.29999999999999982,3,Geldig (>=10s aanwezig)
2025-07-15 12:43:00.000000 UTC,56,0.15555555555555567,1,Geldig (>=10s aanwezig)
2025-07-15 12:44:00.000000 UTC,360,1.1277777777777771,3,Geldig (>=10s aanwezig)
2025-07-15 12:45:00.000000 UTC,361,1.2770083102493077,3,Geldig (>=10s aanwezig)
2025-07-15 12:46:00.000000 UTC,166,0.53333333333333321,2,Geldig (>=10s aanwezig)
2025-07-15 12:47:00.000000 UTC,78,0.21666666666666665,1,Geldig (>=10s aanwezig)
2025-07-15 12:48:00.000000 UTC,205,0.688888889,3,Geldig (>=10s aanwezig)
2025-07-15 12:49:00.000000 UTC,253,1.2000000000000008,4,Geldig (>=10s aanwezig)
2025-07-15 12:50:00.000000 UTC,218,0.738888889,2,Geldig (>=10s aanwezig)
2025-07-15 12:51:00.000000 UTC,83,0.23611111111111102,2,Geldig (>=10s aanwezig)
2025-07-15 12:52:00.000000 UTC,172,0.57500000000000029,3,Geldig (>=10s aanwezig)
2025-07-15 12:53:00.000000 UTC,243,0.98891966759002714,3,Geldig (>=10s aanwezig)
2025-07-15 12:54:00.000000 UTC,171,0.88333333333333353,5,Geldig (>=10s aanwezig)
2025-07-15 12:55:00.000000 UTC,327,1.4388888888888882,4,Geldig (>=10s aanwezig)
2025-07-15 12:56:00.000000 UTC,338,1.4194444444444452,4,Geldig (>=10s aanwezig)
2025-07-15 12:57:00.000000 UTC,353,1.116666666666666,3,Geldig (>=10s aanwezig)
2025-07-15 12:58:00.000000 UTC,333,2.1138888888888876,4,Geldig (>=10s aanwezig)
2025-07-15 12:59:00.000000 UTC,230,0.89444444444444482,4,Geldig (>=10s aanwezig)
2025-07-15 13:00:00.000000 UTC,321,2.1861111111111127,4,Geldig (>=10s aanwezig)
2025-07-15 13:01:00.000000 UTC,360,2.6777777777777776,5,Geldig (>=10s aanwezig)
2025-07-15 13:02:00.000000 UTC,360,4.6833333333333353,8,Geldig (>=10s aanwezig)
2025-07-15 13:03:00.000000 UTC,360,5.9444444444444491,10,Geldig (>=10s aanwezig)
2025-07-15 13:04:00.000000 UTC,289,1.2611111111111115,6,Geldig (>=10s aanwezig)
2025-07-15 13:05:00.000000 UTC,260,0.96952908587257625,2,Geldig (>=10s aanwezig)
2025-07-15 13:06:00.000000 UTC,307,1.0777777777777779,2,Geldig (>=10s aanwezig)
2025-07-15 13:07:00.000000 UTC,46,0.12777777777777791,1,Geldig (>=10s aanwezig)
2025-07-15 13:08:00.000000 UTC,101,0.28611111111111109,2,Geldig (>=10s aanwezig)
2025-07-15 13:09:00.000000 UTC,111,0.35833333333333311,2,Geldig (>=10s aanwezig)
2025-07-15 13:11:00.000000 UTC,247,0.738888889,3,Geldig (>=10s aanwezig)
2025-07-15 13:12:00.000000 UTC,312,1.3027777777777778,2,Geldig (>=10s aanwezig)
2025-07-15 13:13:00.000000 UTC,271,0.8833333333333333,2,Geldig (>=10s aanwezig)
2025-07-15 13:14:00.000000 UTC,185,0.58448753462603842,2,Geldig (>=10s aanwezig)
2025-07-15 13:15:00.000000 UTC,154,0.53333333333333344,3,Geldig (>=10s aanwezig)
2025-07-15 13:16:00.000000 UTC,308,1.159090909,3,Geldig (>=10s aanwezig)
2025-07-15 13:17:00.000000 UTC,34,1.7941176470588232,2,Geldig (>=10s aanwezig)
2025-07-15 13:18:00.000000 UTC,163,1.0245398773006138,2,Geldig (>=10s aanwezig)
2025-07-15 13:19:00.000000 UTC,132,0.97777777777777752,1,Geldig (>=10s aanwezig)
2025-07-15 13:20:00.000000 UTC,360,1.0722222222222215,2,Geldig (>=10s aanwezig)
2025-07-15 13:21:00.000000 UTC,360,1.3527777777777772,2,Geldig (>=10s aanwezig)
2025-07-15 13:22:00.000000 UTC,360,1.0611111111111109,2,Geldig (>=10s aanwezig)
2025-07-15 13:23:00.000000 UTC,336,1.4083333333333341,4,Geldig (>=10s aanwezig)
2025-07-15 13:24:00.000000 UTC,244,0.68333333333333279,2,Geldig (>=10s aanwezig)
2025-07-15 13:25:00.000000 UTC,104,0.29166666666666669,2,Geldig (>=10s aanwezig)
2025-07-15 13:26:00.000000 UTC,115,0.33888888888888874,3,Geldig (>=10s aanwezig)
2025-07-15 13:27:00.000000 UTC,221,0.69444444444444453,2,Geldig (>=10s aanwezig)
2025-07-15 13:28:00.000000 UTC,90,0.25000000000000022,1,Geldig (>=10s aanwezig)
2025-07-15 13:29:00.000000 UTC,186,0.56666666666666632,2,Geldig (>=10s aanwezig)
2025-07-15 13:30:00.000000 UTC,197,0.61944444444444413,3,Geldig (>=10s aanwezig)
2025-07-15 13:31:00.000000 UTC,206,0.81388888888888877,3,Geldig (>=10s aanwezig)
2025-07-15 13:32:00.000000 UTC,168,0.504155125,2,Geldig (>=10s aanwezig)
2025-07-15 13:33:00.000000 UTC,158,0.47222222222222293,2,Geldig (>=10s aanwezig)
2025-07-15 13:34:00.000000 UTC,236,0.79224376731301915,3,Geldig (>=10s aanwezig)
2025-07-15 13:35:00.000000 UTC,352,1.8861111111111106,3,Geldig (>=10s aanwezig)
2025-07-15 13:36:00.000000 UTC,360,2.0833333333333344,3,Geldig (>=10s aanwezig)
2025-07-15 13:37:00.000000 UTC,136,0.39166666666666677,2,Geldig (>=10s aanwezig)
2025-07-15 13:38:00.000000 UTC,128,0.36388888888888893,2,Geldig (>=10s aanwezig)
2025-07-15 13:39:00.000000 UTC,48,0.14166666666666669,2,Geldig (>=10s aanwezig)
2025-07-15 13:40:00.000000 UTC,91,0.27146814404432129,2,Geldig (>=10s aanwezig)
2025-07-15 13:41:00.000000 UTC,110,0.311977716,2,Geldig (>=10s aanwezig)
2025-07-15 13:42:00.000000 UTC,253,0.85041551246537439,3,Geldig (>=10s aanwezig)
2025-07-15 13:43:00.000000 UTC,360,1.2111111111111128,3,Geldig (>=10s aanwezig)
2025-07-15 13:44:00.000000 UTC,360,2.5027777777777755,4,Geldig (>=10s aanwezig)
2025-07-15 13:45:00.000000 UTC,360,3.4833333333333325,5,Geldig (>=10s aanwezig)
2025-07-15 13:46:00.000000 UTC,360,3.3000000000000025,5,Geldig (>=10s aanwezig)
2025-07-15 13:47:00.000000 UTC,360,3.2055555555555544,4,Geldig (>=10s aanwezig)
2025-07-15 13:48:00.000000 UTC,360,3.5638888888888896,5,Geldig (>=10s aanwezig)
2025-07-15 13:49:00.000000 UTC,360,3.1333333333333329,6,Geldig (>=10s aanwezig)
2025-07-15 13:50:00.000000 UTC,360,2.6833333333333327,4,Geldig (>=10s aanwezig)
2025-07-15 13:51:00.000000 UTC,361,2.506925207756233,4,Geldig (>=10s aanwezig)
2025-07-15 13:52:00.000000 UTC,360,2.5444444444444447,4,Geldig (>=10s aanwezig)
2025-07-15 13:53:00.000000 UTC,360,2.4861111111111103,4,Geldig (>=10s aanwezig)
2025-07-15 13:54:00.000000 UTC,360,2.3666666666666667,4,Geldig (>=10s aanwezig)
2025-07-15 13:55:00.000000 UTC,360,2.7805555555555546,4,Geldig (>=10s aanwezig)
2025-07-15 13:56:00.000000 UTC,360,2.6944444444444442,4,Geldig (>=10s aanwezig)
2025-07-15 13:57:00.000000 UTC,360,3.0527777777777811,5,Geldig (>=10s aanwezig)
2025-07-15 13:58:00.000000 UTC,154,0.972222222,5,Geldig (>=10s aanwezig)
2025-07-15 13:59:00.000000 UTC,10,0.033333333333333354,2,Geldig (>=10s aanwezig)
2025-07-15 14:00:00.000000 UTC,31,0.091666666666666632,2,Geldig (>=10s aanwezig)
2025-07-15 14:04:00.000000 UTC,33,0.091666666666666674,1,Geldig (>=10s aanwezig)
2025-07-15 14:08:00.000000 UTC,61,0.17222222222222219,2,Geldig (>=10s aanwezig)
2025-07-15 14:09:00.000000 UTC,36,0.10555555555555556,2,Geldig (>=10s aanwezig)
2025-07-15 14:13:00.000000 UTC,24,0.066481994459833785,1,Geldig (>=10s aanwezig)
2025-07-15 14:14:00.000000 UTC,30,0.083333333333333315,1,Geldig (>=10s aanwezig)
2025-07-15 15:09:00.000000 UTC,27,0.075630252100840317,1,Geldig (>=10s aanwezig)
2025-07-15 15:10:00.000000 UTC,147,0.82596685082872956,3,Geldig (>=10s aanwezig)
2025-07-15 15:19:00.000000 UTC,168,0.519444444,3,Geldig (>=10s aanwezig)
2025-07-15 15:20:00.000000 UTC,307,0.9418282548476451,3,Geldig (>=10s aanwezig)
2025-07-15 15:21:00.000000 UTC,44,0.12222222222222243,1,Geldig (>=10s aanwezig)
2025-07-15 15:23:00.000000 UTC,42,0.19891008174386923,2,Geldig (>=10s aanwezig)
2025-07-15 15:24:00.000000 UTC,305,0.88022284122562655,2,Geldig (>=10s aanwezig)
2025-07-15 15:25:00.000000 UTC,354,2.5762711864406787,4,Geldig (>=10s aanwezig)
