table,_start,_stop,_time,_measurement,device,location,count,entered,exited
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:08:44.856930709Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:09:45.120061873Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:10:45.328493375Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:11:45.54028449Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:12:45.752939409Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:13:45.816959207Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:14:46.076211702Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:15:46.286440242Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:16:46.401528515Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:17:46.608764206Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:18:46.670921612Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:19:46.729372755Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:20:46.936005212Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:21:47.249426849Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:22:47.302975557Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:23:47.574713065Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:24:47.783109906Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:25:47.833565881Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:26:47.902819041Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:27:48.112255253Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
0,2025-08-07T00:00:00Z,2025-08-13T00:00:00Z,2025-08-07T01:28:48.330542464Z,people_counter,esp32_deur_sensor,wachtzaal,0,0,0
